Iterating over double from 8 up to 2097152 elements at: Sat Dec 12 01:19:19 2020
        size	 bsrch	   set	  hash
           8	     5	    17
          16	     7	    16
          32	    10	    23
          64	    12	    21
         128	    15	    21
         256	    20	    22
         512	    24	    22
        1024	    30	    24
        2048	    40	    26
        4096	    50	    26
        8192	    64	    28
       16384	    81	    31
       32768	    92	    33
       65536	   114	    38
      131072	   151	    41
      262144	   236	    76
      524288	   359	    91
     1048576	   452	   100
     2097152	   561	   107
