Iterating over double from 8 up to 2097152 elements at: Sun Nov  6 11:59:55 2022
        size	 bsrch	   set	  hash
           8	     4	     6
          16	     6	     7
          32	     7	     6
          64	     9	     6
         128	    11	     7
         256	    14	     8
         512	    18	     8
        1024	    25	     9
        2048	    33	    10
        4096	    43	    12
        8192	    52	    13
       16384	    60	    15
       32768	    73	    16
       65536	    86	    18
      131072	   108	    21
      262144	   161	    32
      524288	   241	    47
     1048576	   332	    54
     2097152	   418	    60
