Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 12:01:42 2022
        size	   vec	  lseq	  lshf	 ratio	  fseq	  fshf	 ratio
           8	  0.16	     0	     0	   1.0	     0	     0	   0.9
          16	  0.11	     1	     1	   1.0	     1	     1	   1.0
          32	  0.07	     1	     1	   1.0	     1	     1	   1.0
          64	  0.06	     1	     1	   1.0	     1	     1	   1.0
         128	  0.06	     1	     1	   1.0	     1	     1	   1.0
         256	  0.06	     1	     1	   1.0	     1	     1	   1.0
         512	  0.05	     1	     1	   1.0	     1	     1	   1.0
        1024	  0.04	     1	     1	   1.0	     1	     1	   1.0
        2048	  0.04	     1	     2	   1.9	     2	     3	   1.0
        4096	  0.14	     1	     3	   2.4	     3	     3	   1.0
        8192	  0.14	     1	     3	   2.6	     3	     3	   1.0
       16384	  0.14	     1	     5	   3.8	     5	     5	   1.0
       32768	  0.14	     1	     7	   5.0	     7	     7	   1.0
       65536	  0.15	     1	    11	   8.1	    11	    11	   1.0
      131072	  0.29	     2	    14	   8.3	    14	    14	   1.0
      262144	  0.26	     4	    31	   8.7	    31	    31	   1.0
      524288	  0.27	     3	    63	  20.0	    62	    63	   1.0
     1048576	  0.38	     3	    84	  25.1	    83	    83	   1.0
     2097152	  0.47	     3	   111	  32.5	   111	   110	   1.0
     4194304	  0.55	     3	   122	  35.4	   122	   121	   1.0
     8388608	  0.52	     3	   129	  37.4	   129	   129	   1.0
    16777216	  0.53	     3	   136	  39.5	   136	   137	   1.0
