Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 12:00:04 2022
        size	   vec	   set	  copy	 ratio	 h-set	h-copy	 ratio
           8	  0.16	     2	     2	   1.0	     0	     0	   1.0
          16	  0.11	     2	     2	   1.0	     0	     0	   1.0
          32	  0.12	     3	     2	   1.0	     1	     1	   1.1
          64	  0.08	     3	     3	   1.0	     1	     1	   1.0
         128	  0.06	     3	     3	   1.0	     1	     1	   1.0
         256	  0.05	     3	     3	   1.0	     1	     1	   1.0
         512	  0.04	     3	     3	   1.0	     1	     1	   1.0
        1024	  0.04	     4	     4	   0.9	     1	     1	   1.0
        2048	  0.04	     5	     4	   1.2	     3	     1	   2.4
        4096	  0.14	     5	     4	   1.3	     4	     1	   2.9
        8192	  0.14	     7	     5	   1.4	     4	     1	   3.2
       16384	  0.14	     9	     6	   1.6	     4	     1	   3.7
       32768	  0.14	    12	     8	   1.6	     5	     1	   4.2
       65536	  0.17	    17	     8	   2.0	     7	     1	   5.5
      131072	  0.27	    22	    10	   2.1	     9	     2	   5.9
      262144	  0.25	    50	    15	   3.3	    15	     3	   5.3
      524288	  0.27	    74	    18	   4.1	    30	     3	  11.3
     1048576	  0.36	    86	    18	   4.7	    41	     3	  14.6
     2097152	  0.47	    93	    19	   5.0	    48	     3	  17.2
     4194304	  0.52	    99	    19	   5.2	    52	     3	  18.8
     8388608	  0.52	   103	    19	   5.5	    56	     3	  20.2
    16777216	  0.52	   110	    19	   5.9	    60	     3	  22.0
