Sorting double from 8 up to 16777216 elements at: Sun Nov  6 12:04:04 2022
        size	 qsort	 quick	 merge	  heap	 flist	  list	   set
           8	    17	     8	    12	    12	    26	    42	    34
          16	    22	    10	    14	    18	    32	    44	    47
          32	    27	    16	    17	    25	    39	    61	    56
          64	    33	    19	    21	    31	    44	    52	    63
         128	    39	    24	    25	    39	    50	    57	    70
         256	    45	    28	    30	    45	    55	    61	    74
         512	    49	    30	    32	    48	    59	    66	    79
        1024	    53	    33	    35	    52	    64	    71	    83
        2048	    58	    36	    39	    55	    80	    81	    91
        4096	    63	    39	    43	    60	    95	    90	    98
        8192	    68	    42	    46	    64	   107	    99	   110
       16384	    73	    45	    50	    68	   131	   114	   121
       32768	    78	    48	    54	    73	   162	   130	   138
       65536	    83	    51	    58	    78	   235	   156	   169
      131072	    89	    55	    62	    84	   316	   187	   212
      262144	    94	    58	    67	    90	   579	   275	   356
      524288	   100	    61	    71	    97	  1192	   476	   537
     1048576	   107	    64	    77	   108	  1621	   653	   727
     2097152	   117	    68	    83	   129	  1821	   788	   886
     4194304	   132	    71	    88	   158	  1859	   901	  1051
     8388608	   151	    75	    92	   187	  1657	   999	  1238
    16777216	   193	    78	    97	   217	   991	  1115	  1513
