Applying operation 100000000 times (sequence length 1000 by 100000 iterations) at: Sun Nov  6 11:59:20 2022
          type	  plus	 fplus	 times	  norm	 cnvrt	   div	  sqrt	   pow	
 vector<int8_t>	  0.03	  0.74	  0.06	  0.08	  0.03	  4.05	  1.38	 11.68	
vector<int16_t>	  0.04	  0.73	  0.04	  0.05	  0.05	  1.44	  1.05	 13.01	
vector<int32_t>	  0.09	  0.73	  0.15	  0.26	  0.09	  1.43	  0.72	 11.55	
vector<int64_t>	  0.18	  0.97	  0.49	  0.57	  0.64	  1.43	  1.44	 12.62	
  vector<float>	  0.09	  0.72	  0.09	  0.09	  0.09	  0.24	  0.26	 11.58	
 vector<double>	  0.17	  0.73	  0.17	  0.18	  0.17	  0.49	  0.72	 11.34	
  deque<int8_t>	  0.57	  0.97	  0.59	  0.81	  0.57	  4.06	  1.43	 12.54	
 deque<int16_t>	  0.58	  1.08	  0.61	  0.76	  0.59	  1.44	  1.43	 12.73	
 deque<int32_t>	  0.60	  1.03	  0.62	  0.79	  0.60	  1.44	  1.44	 13.07	
 deque<int64_t>	  0.64	  0.91	  0.68	  0.85	  0.94	  1.45	  1.43	 13.11	
   deque<float>	  0.60	  0.97	  0.60	  0.79	  0.60	  0.91	  1.31	 12.95	
  deque<double>	  0.66	  0.96	  0.65	  0.86	  0.65	  0.98	  1.49	 11.87	
   list<int8_t>	  1.51	  1.45	  1.51	  1.34	  1.51	  4.06	  1.43	 14.62	
  list<int16_t>	  1.57	  1.56	  1.58	  1.59	  1.60	  1.52	  1.56	 13.03	
  list<int32_t>	  1.52	  1.48	  1.51	  1.52	  1.52	  1.44	  1.53	 13.90	
  list<int64_t>	  1.52	  1.55	  1.51	  1.52	  1.33	  1.44	  1.53	 12.87	
    list<float>	  1.53	  1.48	  1.52	  1.54	  1.52	  1.54	  1.36	 12.84	
   list<double>	  1.51	  1.54	  1.51	  1.52	  1.51	  1.52	  1.43	 12.61	
