Iterating over double from 8 up to 2097152 elements at: Sun Nov  6 13:29:36 2022
        size	 bsrch	   set	  hash
           8	     4	     6
          16	     5	     8
          32	     7	     6
          64	     9	     6
         128	    11	     6
         256	    14	     8
         512	    17	     8
        1024	    19	     8
        2048	    29	    10
        4096	    41	    12
        8192	    51	    14
       16384	    60	    15
       32768	    72	    16
       65536	    85	    18
      131072	   109	    21
      262144	   168	    33
      524288	   238	    47
     1048576	   326	    55
     2097152	   412	    59
