Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 13:31:23 2022
        size	   vec	  lseq	  lshf	 ratio	  fseq	  fshf	 ratio
           8	  0.17	     0	     0	   1.0	     0	     0	   0.9
          16	  0.11	     1	     1	   1.0	     1	     1	   1.0
          32	  0.07	     1	     1	   1.0	     1	     1	   1.0
          64	  0.07	     1	     1	   1.0	     1	     1	   1.0
         128	  0.06	     1	     1	   1.0	     1	     1	   1.0
         256	  0.06	     1	     1	   1.0	     1	     1	   1.0
         512	  0.05	     1	     1	   1.0	     1	     1	   1.0
        1024	  0.04	     1	     1	   1.0	     1	     1	   1.0
        2048	  0.04	     1	     2	   1.9	     2	     3	   1.0
        4096	  0.14	     1	     3	   2.4	     3	     3	   1.0
        8192	  0.14	     1	     3	   2.6	     3	     3	   1.0
       16384	  0.14	     1	     5	   3.8	     5	     5	   1.0
       32768	  0.14	     1	     6	   4.8	     6	     6	   1.0
       65536	  0.15	     1	    11	   7.9	    11	    11	   1.0
      131072	  0.29	     2	    14	   8.3	    14	    14	   1.0
      262144	  0.25	     4	    31	   8.8	    31	    31	   1.0
      524288	  0.26	     3	    61	  19.7	    62	    62	   1.0
     1048576	  0.37	     3	    82	  24.9	    82	    82	   1.0
     2097152	  0.46	     3	   111	  32.8	   111	   109	   1.0
     4194304	  0.52	     3	   121	  34.9	   121	   120	   1.0
     8388608	  0.52	     3	   127	  37.1	   128	   128	   1.0
    16777216	  0.52	     3	   135	  39.1	   135	   135	   1.0
