Sorting double from 8 up to 16777216 elements at: Sun Nov  6 13:33:43 2022
        size	 qsort	 quick	 merge	  heap	 flist	  list	   set
           8	    17	     8	    12	    12	    26	    41	    33
          16	    22	     9	    13	    17	    32	    43	    47
          32	    28	    16	    17	    25	    39	    47	    55
          64	    33	    19	    21	    30	    43	    51	    62
         128	    40	    24	    25	    37	    50	    58	    70
         256	    46	    28	    30	    43	    55	    62	    73
         512	    50	    30	    32	    47	    59	    67	    77
        1024	    55	    33	    35	    51	    64	    73	    81
        2048	    60	    36	    39	    55	    80	    83	    88
        4096	    65	    39	    43	    60	    95	    91	    96
        8192	    70	    42	    47	    64	   107	   100	   107
       16384	    75	    45	    51	    69	   132	   115	   119
       32768	    80	    48	    55	    73	   158	   129	   135
       65536	    85	    51	    59	    78	   235	   155	   163
      131072	    91	    54	    63	    84	   298	   181	   214
      262144	    97	    58	    68	    90	   551	   266	   382
      524288	   103	    61	    72	    98	  1195	   480	   611
     1048576	   111	    64	    78	   109	  1629	   657	   851
     2097152	   121	    68	    83	   130	  1830	   793	  1050
     4194304	   136	    71	    89	   159	  1870	   907	  1237
     8388608	   155	    74	    93	   189	  1668	  1007	  1400
    16777216	   197	    78	    98	   219	   996	  1122	  1530
