Applying operation 100000000 times (sequence length 1000 by 100000 iterations) at: Sun Nov  6 13:28:58 2022
          type	  plus	 fplus	 times	  norm	 cnvrt	   div	  sqrt	   pow	
 vector<int8_t>	  0.03	  0.75	  0.06	  0.08	  0.03	  4.05	  1.43	 13.55	
vector<int16_t>	  0.04	  0.96	  0.05	  0.05	  0.04	  1.43	  1.43	 13.62	
vector<int32_t>	  0.09	  0.97	  0.15	  0.26	  0.09	  1.43	  1.43	 13.96	
vector<int64_t>	  0.17	  0.98	  0.50	  0.58	  0.65	  1.44	  1.44	 14.04	
  vector<float>	  0.09	  0.73	  0.09	  0.09	  0.09	  0.18	  0.72	 14.08	
 vector<double>	  0.17	  0.96	  0.17	  0.18	  0.17	  0.49	  1.43	 12.69	
  deque<int8_t>	  0.57	  0.98	  0.58	  0.80	  0.57	  4.05	  1.43	 13.94	
 deque<int16_t>	  0.58	  1.10	  0.61	  0.76	  0.58	  1.43	  1.44	 14.08	
 deque<int32_t>	  0.81	  1.02	  0.62	  1.29	  0.60	  1.43	  1.47	 13.92	
 deque<int64_t>	  0.64	  0.98	  0.67	  0.86	  2.75	  1.43	  1.49	 14.11	
   deque<float>	  0.60	  0.97	  0.61	  0.79	  0.61	  0.91	  0.91	 14.07	
  deque<double>	  0.65	  0.99	  0.65	  0.82	  0.65	  1.00	  1.43	 13.04	
   list<int8_t>	  1.51	  1.45	  1.51	  1.34	  1.34	  4.05	  1.52	 14.07	
  list<int16_t>	  1.52	  1.46	  1.52	  1.53	  1.36	  1.43	  1.53	 14.01	
  list<int32_t>	  1.52	  1.49	  1.52	  1.53	  1.34	  1.43	  1.53	 14.03	
  list<int64_t>	  1.51	  1.54	  1.52	  1.53	  1.33	  1.45	  1.53	 14.03	
    list<float>	  1.35	  1.48	  1.35	  1.54	  1.35	  1.54	  1.35	 14.22	
   list<double>	  1.34	  1.54	  1.34	  1.52	  1.34	  1.52	  1.45	 12.98	
