Iterating over double from 8 up to 16777216 elements at: Sat Dec 12 01:19:31 2020
        size	   vec	   set	  copy	 ratio	 h-set	h-copy	 ratio
           8	  0.21	     2	     2	   1.0	     0	     0	   0.9
          16	  0.21	     3	     3	   1.0	     1	     0	   1.1
          32	  0.09	     3	     3	   1.0	     1	     1	   0.8
          64	  0.11	     3	     3	   1.0	     1	     1	   1.0
         128	  0.07	     3	     3	   1.0	     1	     1	   1.0
         256	  0.08	     3	     3	   1.0	     1	     1	   1.0
         512	  0.07	     3	     3	   1.0	     1	     1	   1.0
        1024	  0.11	     5	     4	   1.1	     2	     1	   1.6
        2048	  0.07	     6	     4	   1.3	     3	     1	   2.1
        4096	  0.15	     7	     6	   1.3	     3	     1	   2.3
        8192	  0.16	    12	     8	   1.5	     4	     2	   2.5
       16384	  0.18	    15	     8	   1.8	     5	     2	   3.1
       32768	  0.21	    16	     8	   2.0	     6	     2	   3.5
       65536	  0.24	    18	     9	   1.9	     6	     2	   3.4
      131072	  0.25	    34	    14	   2.5	     6	     2	   3.5
      262144	  0.26	    64	    18	   3.5	    12	     2	   4.7
      524288	  0.44	    78	    20	   3.9	    24	     3	   8.2
     1048576	  0.50	    88	    20	   4.4
