Iterating over double from 8 up to 2097152 elements at: Sun Nov  6 22:25:27 2022
        size	 bsrch	   set	  hash
           8	     2	     3
          16	     3	     5
          32	     4	     4
          64	     5	     4
         128	     6	     5
         256	     9	     6
         512	    12	     6
        1024	    24	     7
        2048	    27	     8
        4096	    40	    10
        8192	    49	    13
       16384	    57	    14
       32768	    69	    15
       65536	    73	    16
      131072	    82	    16
      262144	   100	    18
      524288	   142	    27
     1048576	   191	    39
     2097152	   260	    47
