Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 22:27:21 2022
        size	   vec	  lseq	  lshf	 ratio	  fseq	  fshf	 ratio
           8	  0.00	     0	     0	   1.0	     0	     0	   1.0
          16	  0.00	     0	     0	   1.0	     0	     0	   1.0
          32	  0.00	     0	     0	   1.0	     0	     0	   1.0
          64	  0.00	     1	     1	   1.0	     1	     1	   1.0
         128	  0.00	     1	     1	   1.0	     1	     1	   1.0
         256	  0.00	     1	     1	   1.0	     1	     1	   1.0
         512	  0.00	     1	     1	   1.0	     1	     1	   1.0
        1024	  0.00	     1	     1	   1.0	     1	     1	   1.0
        2048	  0.00	     1	     1	   1.0	     1	     1	   1.0
        4096	  0.00	     2	     2	   1.2	     2	     2	   1.0
        8192	  0.00	     2	     4	   2.0	     5	     5	   1.0
       16384	  0.00	     3	     5	   1.8	     6	     6	   1.0
       32768	  0.00	     3	     6	   1.9	     6	     7	   1.0
       65536	  0.00	     4	     7	   1.8	     7	     7	   1.0
      131072	  0.00	     4	     7	   1.8	     7	     8	   1.0
      262144	  0.00	     5	     9	   1.8	    10	    10	   1.0
      524288	  0.00	    10	    33	   3.3	    34	    34	   1.0
     1048576	  0.00	    21	    71	   3.4	    73	    74	   1.0
     2097152	  0.00	    39	   112	   2.8	   114	   113	   1.0
     4194304	  0.00	    58	   135	   2.3	   136	   141	   1.0
     8388608	  0.00	    68	   150	   2.2	   147	   156	   1.1
    16777216	  0.00	    74	   162	   2.2	   154	   154	   1.0
