Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 22:25:33 2022
        size	   vec	   set	  copy	 ratio	 h-set	h-copy	 ratio
           8	  0.00	     2	     2	   1.0	     0	     0	   1.0
          16	  0.00	     3	     3	   1.0	     0	     1	   1.0
          32	  0.00	     2	     3	   1.0	     1	     1	   1.0
          64	  0.00	     3	     3	   1.0	     1	     1	   1.0
         128	  0.00	     3	     3	   1.0	     1	     1	   1.0
         256	  0.00	     3	     3	   1.0	     1	     1	   1.0
         512	  0.00	     3	     3	   1.0	     1	     1	   1.0
        1024	  0.00	     3	     3	   1.0	     1	     1	   1.0
        2048	  0.00	     3	     3	   0.9	     1	     1	   1.0
        4096	  0.00	     6	     4	   1.5	     2	     1	   1.2
        8192	  0.00	     8	     5	   1.6	     3	     1	   2.4
       16384	  0.00	     9	     5	   1.7	     3	     1	   2.6
       32768	  0.00	    11	     6	   1.9	     4	     1	   2.9
       65536	  0.00	    11	     6	   1.9	     5	     1	   3.3
      131072	  0.00	    12	     6	   1.9	     5	     1	   3.6
      262144	  0.00	    23	     7	   3.5	     5	     2	   3.4
      524288	  0.00	    50	     6	   7.6	    15	     1	  10.4
     1048576	  0.00	    76	     7	  11.1	    32	     1	  21.7
     2097152	  0.00	    92	     7	  13.3	    49	     1	  33.4
     4194304	  0.00	   101	     7	  14.4	    61	     1	  42.3
     8388608	  0.00	   107	     7	  14.6	    68	     1	  47.6
    16777216	  0.00	   109	     8	  13.4	    74	     1	  51.0
