Sorting double from 8 up to 16777216 elements at: Sun Nov  6 22:30:51 2022
        size	 qsort	 quick	 merge	  heap	 flist	  list	   set
           8	    21	     8	    14	    14	    28	    40	    39
          16	    26	     9	    15	    18	    33	    43	    50
          32	    30	    17	    18	    22	    39	    48	    59
          64	    35	    22	    22	    25	    44	    52	    66
         128	    41	    26	    25	    28	    50	    57	    73
         256	    46	    30	    29	    30	    55	    62	    78
         512	    51	    33	    33	    30	    60	    67	    83
        1024	    56	    37	    38	    31	    65	    72	    88
        2048	    61	    41	    42	    33	    70	    77	    93
        4096	    66	    44	    46	    36	    79	    83	   105
        8192	    71	    48	    50	    39	   114	    95	   117
       16384	    76	    51	    55	    41	   132	   105	   132
       32768	    81	    55	    59	    46	   157	   117	   148
       65536	    86	    59	    64	    51	   178	   128	   162
      131072	    91	    62	    68	    56	   194	   139	   176
      262144	    96	    65	    73	    62	   224	   156	   224
      524288	   102	    69	    77	    69	   688	   305	   388
     1048576	   108	    72	    81	    76	  1544	   575	   610
     2097152	   117	    75	    86	    89	  2466	   914	   853
     4194304	   133	    79	    90	   120	  2811	  1203	  1048
     8388608	   153	    82	    95	   172	  2496	  1395	  1212
    16777216	   194	    86	   100	   246	  1196	  1529	  1312
