Applying operation 100000000 times (sequence length 1000 by 100000 iterations) at: Sun Nov  6 22:25:06 2022
          type	  plus	 fplus	 times	  norm	 cnvrt	   div	  sqrt	   pow	
 vector<int8_t>	  0.06	  1.16	  0.02	  0.02	  0.02	  0.64	  0.77	  6.50	
vector<int16_t>	  0.04	  0.95	  0.03	  0.04	  0.03	  0.64	  0.77	  6.32	
vector<int32_t>	  0.07	  0.95	  0.07	  0.08	  0.07	  0.64	  0.77	  6.32	
vector<int64_t>	  0.13	  0.95	  0.40	  0.54	  0.19	  0.64	  0.63	  6.32	
  vector<float>	  0.07	  0.95	  0.07	  0.08	  0.07	  0.08	  0.73	  6.26	
 vector<double>	  0.13	  0.95	  0.13	  0.15	  0.13	  0.16	  0.63	  5.86	
  deque<int8_t>	  0.64	  0.96	  0.64	  0.64	  0.64	  0.81	  0.95	  6.79	
 deque<int16_t>	  0.65	  0.98	  0.65	  0.65	  0.65	  0.80	  0.96	  6.67	
 deque<int32_t>	  0.67	  1.01	  0.67	  0.67	  0.67	  0.82	  0.99	  6.75	
 deque<int64_t>	  0.63	  1.02	  0.63	  0.64	  0.72	  0.80	  1.03	  6.71	
   deque<float>	  0.67	  1.00	  0.67	  0.67	  0.70	  0.71	  0.83	  6.34	
  deque<double>	  0.63	  1.05	  0.63	  0.63	  0.64	  0.76	  0.86	  6.02	
   list<int8_t>	  1.06	  1.04	  1.06	  1.07	  1.07	  1.09	  1.12	  6.68	
  list<int16_t>	  1.05	  1.02	  1.05	  1.05	  1.05	  1.06	  1.11	  6.48	
  list<int32_t>	  1.05	  1.02	  1.05	  1.05	  1.05	  1.06	  1.11	  6.48	
  list<int64_t>	  1.05	  1.02	  1.05	  1.05	  1.05	  1.06	  1.11	  6.51	
    list<float>	  1.05	  1.02	  1.05	  1.05	  1.05	  1.08	  1.06	  6.43	
   list<double>	  1.05	  1.02	  1.05	  1.05	  1.06	  1.05	  1.06	  6.05	
