Iterating over double from 8 up to 2097152 elements at: Sun Nov  6 19:25:33 2022
        size	 bsrch	   set	  hash
           8	     2	     2
          16	     3	     2
          32	     4	     2
          64	     5	     2
         128	     6	     2
         256	     8	     2
         512	    13	     2
        1024	    19	     3
        2048	    25	     3
        4096	    37	     5
        8192	    46	     6
       16384	    55	     7
       32768	    63	     7
       65536	    71	     7
      131072	    79	     8
      262144	    96	     9
      524288	   127	    12
     1048576	   178	    15
     2097152	   244	    16
