Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 19:26:51 2022
        size	   vec	  lseq	  lshf	 ratio	  fseq	  fshf	 ratio
           8	  0.23	     0	     0	   1.0	     0	     0	   1.0
          16	  0.13	     0	     0	   1.0	     0	     0	   1.0
          32	  0.14	     0	     0	   1.0	     1	     0	   0.9
          64	  0.11	     1	     1	   1.0	     1	     1	   1.0
         128	  0.11	     1	     1	   1.0	     1	     1	   1.0
         256	  0.11	     1	     1	   1.0	     1	     1	   1.0
         512	  0.10	     1	     1	   1.0	     1	     1	   1.0
        1024	  0.29	     1	     1	   1.0	     1	     1	   1.0
        2048	  0.19	     1	     1	   1.0	     1	     1	   1.0
        4096	  0.17	     2	     2	   1.2	     1	     1	   1.0
        8192	  0.09	     1	     5	   3.2	     1	     2	   1.4
       16384	  0.09	     1	     6	   3.9	     1	     4	   3.7
       32768	  0.10	     1	     6	   4.4	     1	     5	   4.8
       65536	  0.10	     1	     6	   4.7	     1	     6	   5.3
      131072	  0.11	     1	     7	   5.1	     1	     6	   5.5
      262144	  0.10	     1	     9	   6.6	     1	     7	   6.0
      524288	  0.11	     1	    28	  19.9	     1	     9	   8.1
     1048576	  0.15	     2	    57	  30.5	     1	    27	  23.9
     2097152	  0.16	     2	    89	  45.0	     1	    56	  43.6
     4194304	  0.19	     2	   108	  54.2	     1	    91	  68.2
     8388608	  0.22	     2	   117	  56.4	     1	   111	  83.1
    16777216	  0.29	     2	   124	  58.6	     1	   121	  88.0
