Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 19:25:38 2022
        size	   vec	   set	  copy	 ratio	 h-set	h-copy	 ratio
           8	  0.23	     1	     1	   0.9	     0	     0	   1.0
          16	  0.13	     1	     1	   1.0	     0	     1	   1.0
          32	  0.14	     2	     2	   1.0	     1	     1	   1.0
          64	  0.11	     2	     2	   1.0	     1	     1	   1.0
         128	  0.11	     2	     2	   1.0	     1	     1	   1.0
         256	  0.11	     2	     2	   1.0	     1	     1	   1.0
         512	  0.10	     2	     2	   1.0	     1	     1	   1.0
        1024	  0.11	     2	     2	   1.0	     1	     1	   1.0
        2048	  0.10	     2	     2	   1.0	     1	     1	   1.0
        4096	  0.08	     5	     4	   1.2	     1	     1	   1.0
        8192	  0.08	     6	     4	   1.8	     3	     1	   2.1
       16384	  0.09	     8	     3	   2.3	     3	     1	   2.7
       32768	  0.10	     9	     3	   2.7	     4	     1	   2.8
       65536	  0.10	    10	     3	   3.0	     4	     1	   2.9
      131072	  0.10	    10	     3	   3.2	     4	     1	   3.2
      262144	  0.11	    20	     4	   5.2	     5	     1	   3.6
      524288	  0.11	    40	     4	   9.3	    12	     2	   7.4
     1048576	  0.15	    62	     5	  12.2	    26	     2	  11.5
     2097152	  0.16	    75	     5	  14.7	    36	     2	  15.2
     4194304	  0.19	    80	     5	  15.8	    42	     2	  17.4
     8388608	  0.21	    85	     5	  16.5	    41	     2	  17.0
    16777216	  0.26	    91	     5	  18.0	    39	     2	  16.1
