Sorting double from 8 up to 16777216 elements at: Sun Nov  6 19:27:39 2022
        size	 qsort	 quick	 merge	  heap	 flist	  list	   set
           8	    14	     8	     8	    12	    37	    37	    42
          16	    20	     9	     9	    16	    41	    41	    53
          32	    25	    13	    11	    20	    45	    46	    62
          64	    31	    17	    14	    23	    50	    51	    70
         128	    36	    20	    20	    27	    56	    56	    75
         256	    41	    24	    23	    30	    61	    61	    81
         512	    46	    28	    28	    30	    66	    66	    93
        1024	    51	    31	    31	    31	    71	    75	    96
        2048	    57	    35	    36	    33	    78	    80	   100
        4096	    61	    39	    39	    36	    83	    85	   111
        8192	    67	    42	    45	    38	    88	    94	   123
       16384	    72	    46	    48	    41	    96	   100	   135
       32768	    76	    49	    53	    45	   103	   107	   146
       65536	    81	    53	    56	    50	   109	   113	   158
      131072	    86	    56	    61	    56	   115	   121	   173
      262144	    91	    60	    65	    62	   122	   131	   213
      524288	    95	    64	    70	    69	   131	   172	   293
     1048576	   100	    67	    73	    75	   171	   263	   449
     2097152	   105	    70	    78	    87	   261	   383	   642
     4194304	   110	    74	    82	   118	   386	   480	   846
     8388608	   113	    77	    87	   172	   486	   562	  1046
    16777216	   119	    81	    90	   245	   571	   645	  1255
