Applying operation 100000000 times (sequence length 1000 by 100000 iterations) at: Sun Nov  6 19:25:15 2022
          type	  plus	 fplus	 times	  norm	 cnvrt	   div	  sqrt	   pow	
 vector<int8_t>	  0.04	  1.10	  0.02	  0.02	  0.02	  0.63	  0.51	  3.75	
vector<int16_t>	  0.03	  0.94	  0.03	  0.03	  0.03	  0.63	  0.45	  3.49	
vector<int32_t>	  0.06	  0.94	  0.06	  0.06	  0.06	  0.64	  0.31	  3.43	
vector<int64_t>	  0.27	  0.94	  0.33	  0.40	  0.16	  0.63	  0.31	  3.42	
  vector<float>	  0.06	  0.94	  0.06	  0.06	  0.06	  0.09	  0.16	  3.42	
 vector<double>	  0.12	  0.94	  0.12	  0.12	  0.12	  0.20	  0.31	  3.42	
  deque<int8_t>	  0.94	  1.56	  0.94	  0.94	  0.94	  0.88	  1.05	  4.16	
 deque<int16_t>	  0.78	  1.56	  0.78	  0.82	  0.78	  0.86	  1.01	  4.05	
 deque<int32_t>	  0.78	  1.57	  0.79	  0.82	  0.78	  0.86	  1.01	  4.08	
 deque<int64_t>	  0.79	  1.56	  0.79	  0.83	  0.90	  0.87	  1.02	  4.08	
   deque<float>	  0.74	  1.25	  0.74	  0.78	  0.74	  0.82	  0.82	  3.78	
  deque<double>	  0.75	  1.25	  0.75	  0.79	  0.75	  0.82	  0.82	  3.50	
   list<int8_t>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.56	  1.55	  3.90	
  list<int16_t>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.55	  1.55	  3.85	
  list<int32_t>	  1.55	  1.04	  1.54	  1.55	  1.54	  1.56	  1.56	  3.86	
  list<int64_t>	  1.54	  0.94	  1.54	  1.55	  1.55	  1.55	  1.55	  3.84	
    list<float>	  1.55	  1.03	  1.54	  1.55	  1.54	  1.55	  1.54	  3.57	
   list<double>	  1.55	  1.04	  1.54	  1.55	  1.54	  1.55	  1.54	  3.42	
