Iterating over double from 8 up to 2097152 elements at: Sun Nov  6 20:21:57 2022
        size	 bsrch	   set	  hash
           8	     2	     2
          16	     3	     2
          32	     4	     2
          64	     5	     2
         128	     6	     2
         256	     8	     2
         512	    14	     2
        1024	    17	     3
        2048	    26	     3
        4096	    38	     5
        8192	    46	     6
       16384	    54	     7
       32768	    63	     7
       65536	    71	     7
      131072	    81	     8
      262144	   107	     9
      524288	   128	    12
     1048576	   179	    15
     2097152	   243	    16
