Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 20:23:17 2022
        size	   vec	  lseq	  lshf	 ratio	  fseq	  fshf	 ratio
           8	  0.23	     0	     0	   1.0	     0	     0	   1.0
          16	  0.13	     0	     0	   1.0	     0	     0	   1.0
          32	  0.14	     0	     0	   1.0	     1	     0	   0.9
          64	  0.11	     1	     1	   1.0	     1	     1	   1.0
         128	  0.11	     1	     1	   1.0	     1	     1	   1.0
         256	  0.11	     1	     1	   1.0	     1	     1	   1.0
         512	  0.10	     1	     1	   1.0	     1	     1	   1.0
        1024	  0.22	     1	     1	   1.0	     1	     1	   1.0
        2048	  0.18	     1	     1	   1.0	     1	     1	   1.0
        4096	  0.12	     2	     2	   1.4	     1	     1	   1.0
        8192	  0.09	     1	     5	   3.3	     1	     2	   1.8
       16384	  0.09	     1	     6	   4.1	     1	     4	   3.9
       32768	  0.11	     1	     6	   4.3	     1	     5	   4.9
       65536	  0.10	     1	     6	   4.5	     1	     6	   5.3
      131072	  0.10	     1	     7	   4.9	     1	     6	   5.4
      262144	  0.10	     1	     9	   6.3	     1	     7	   6.1
      524288	  0.11	     2	    28	  18.0	     1	     9	   7.7
     1048576	  0.14	     2	    55	  26.8	     1	    27	  23.2
     2097152	  0.16	     3	    89	  34.2	     1	    55	  36.9
     4194304	  0.19	     3	   107	  40.9	     2	    90	  59.9
     8388608	  0.21	     3	   116	  43.9	     2	   110	  72.7
    16777216	  0.27	     3	   124	  44.6	     2	   121	  77.7
