Iterating over double from 8 up to 16777216 elements at: Sun Nov  6 20:22:02 2022
        size	   vec	   set	  copy	 ratio	 h-set	h-copy	 ratio
           8	  0.23	     1	     1	   0.9	     0	     0	   1.0
          16	  0.13	     1	     1	   1.0	     0	     1	   1.0
          32	  0.14	     2	     2	   1.0	     1	     1	   1.0
          64	  0.11	     2	     2	   1.0	     1	     1	   1.0
         128	  0.11	     2	     2	   1.0	     1	     1	   1.0
         256	  0.11	     2	     2	   1.0	     1	     1	   1.0
         512	  0.10	     2	     2	   1.0	     1	     1	   1.0
        1024	  0.11	     2	     2	   1.0	     1	     1	   1.0
        2048	  0.10	     2	     2	   1.0	     1	     1	   1.0
        4096	  0.09	     5	     3	   1.4	     1	     1	   0.8
        8192	  0.09	     7	     3	   1.9	     3	     1	   2.3
       16384	  0.08	     8	     3	   2.3	     3	     1	   2.8
       32768	  0.10	     9	     3	   2.8	     4	     1	   2.8
       65536	  0.10	    10	     3	   3.0	     4	     1	   2.9
      131072	  0.10	    10	     3	   3.2	     4	     1	   3.2
      262144	  0.10	    20	     4	   5.3	     5	     1	   3.5
      524288	  0.11	    39	     4	   9.4	    12	     2	   7.3
     1048576	  0.14	    62	     5	  12.3	    25	     2	  11.4
     2097152	  0.16	    74	     5	  14.7	    36	     2	  14.9
     4194304	  0.19	    80	     5	  15.8	    42	     2	  17.2
     8388608	  0.22	    84	     5	  16.5	    41	     2	  16.9
    16777216	  0.26	    91	     5	  17.8	    35	     2	  14.4
