Sorting double from 8 up to 16777216 elements at: Sun Nov  6 20:24:06 2022
        size	 qsort	 quick	 merge	  heap	 flist	  list	   set
           8	    14	     8	     8	    12	    37	    37	    43
          16	    20	     9	     9	    16	    41	    41	    54
          32	    25	    13	    11	    20	    45	    46	    63
          64	    31	    17	    14	    23	    50	    51	    70
         128	    36	    20	    20	    27	    56	    56	    75
         256	    41	    24	    23	    30	    61	    61	    80
         512	    46	    28	    28	    30	    66	    66	    92
        1024	    52	    31	    31	    31	    71	    79	    95
        2048	    57	    35	    36	    33	    83	    82	   100
        4096	    62	    39	    39	    36	    86	    86	   111
        8192	    66	    42	    45	    38	    90	    94	   123
       16384	    71	    46	    48	    41	    97	   101	   135
       32768	    76	    49	    53	    45	   103	   107	   146
       65536	    81	    53	    56	    50	   109	   113	   158
      131072	    86	    56	    61	    56	   115	   121	   173
      262144	    91	    60	    65	    62	   122	   131	   213
      524288	    95	    64	    70	    69	   131	   172	   292
     1048576	   100	    67	    73	    76	   169	   260	   446
     2097152	   105	    71	    78	    88	   260	   381	   639
     4194304	   110	    74	    82	   119	   385	   480	   844
     8388608	   113	    78	    87	   173	   485	   563	  1044
    16777216	   119	    81	    90	   244	   570	   643	  1247
