Applying operation 100000000 times (sequence length 1000 by 100000 iterations) at: Sun Nov  6 20:21:30 2022
          type	  plus	 fplus	 times	  norm	 cnvrt	   div	  sqrt	   pow	
 vector<int8_t>	  0.02	  1.01	  0.02	  0.02	  0.02	  0.63	  0.51	  8.37	
vector<int16_t>	  0.03	  0.94	  0.03	  0.03	  0.03	  0.63	  0.45	  8.67	
vector<int32_t>	  0.06	  0.94	  0.06	  0.06	  0.06	  0.63	  0.31	  8.05	
vector<int64_t>	  0.12	  0.94	  0.33	  0.40	  0.16	  0.63	  0.31	  8.24	
  vector<float>	  0.06	  0.94	  0.06	  0.07	  0.06	  0.09	  0.16	  7.93	
 vector<double>	  0.12	  0.94	  0.12	  0.13	  0.12	  0.20	  0.31	  7.95	
  deque<int8_t>	  0.94	  1.56	  0.94	  0.97	  0.94	  0.88	  1.05	  9.23	
 deque<int16_t>	  0.78	  1.25	  0.78	  0.82	  0.78	  0.86	  1.01	  9.21	
 deque<int32_t>	  0.78	  1.25	  0.78	  0.82	  0.78	  0.86	  1.01	  9.24	
 deque<int64_t>	  0.79	  1.25	  0.79	  0.82	  0.90	  0.95	  1.02	  9.24	
   deque<float>	  0.74	  1.25	  0.74	  0.82	  0.74	  0.82	  0.82	  8.93	
  deque<double>	  0.75	  1.56	  0.75	  0.82	  0.75	  0.82	  0.83	  8.44	
   list<int8_t>	  1.54	  1.03	  1.54	  1.54	  1.54	  1.57	  1.55	  8.99	
  list<int16_t>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.55	  1.55	  9.00	
  list<int32_t>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.56	  1.55	  9.02	
  list<int64_t>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.55	  1.55	  9.06	
    list<float>	  1.54	  1.03	  1.54	  1.54	  1.54	  1.54	  1.54	  8.79	
   list<double>	  1.54	  1.04	  1.54	  1.54	  1.54	  1.54	  1.54	  8.16	
